id,질문,내용
번호 157,이혼신고 절차는 어떻게 되나요?,"1.협의이혼
1)법원 방문하여 이혼당사자 서류 제출(주소지가 금천구인 경우,서울남부지방법원)
-협의이혼의사확인신청서1부
(미성년자가 있는 경우,자의 양육과 친권자결정에 관한 협의서1통과 복사본2통)
-남편과 처의 가족관계증명서,혼인관계증명서 각1부
-주민등록등본1부(주소가 다를 경우 각1부)
-이혼 당사자 신분증,도장
2)법원에서 협의이혼의사확인서 수령
3)이혼신고서 구청에 접수
(협의이혼일로부터3개월 이내-> 3개월 이내 미신고시 이혼 무효로 법원에서 다시 받아와야 함)
-협의이혼의사확인서(미성년자 자녀가 있을 시,자의 양육과 친권자결정에 관한 협의서 첨부) 1통.
-이혼신고서(이혼신고서에 남편과 처의 도장 또는 서명 날인) 1부.
-신고인 신분증.
2.재판이혼
1)서울가정법원에 이혼청구
-이혼소송청구서2부(미성년자가 있는 경우,각 자녀의 기본증명서1통&가족관계증명서1통&자녀 포함된 주민등록등본1통)
-남편과 처의 가족관계증명서,혼인관계증명서,기본증명서 각1부
-주민등록등본1부(부부가 주소가 다를 경우,이전 주소지가 포함된 주민등록초본 각1부)
-이혼 당사자 신분증,도장
-인지액20,000원(단,위자료 및 재산분할 청구가 있을 경우 인지액 추가 발생)
-송달료111,000원(15회x2명)
2)재판 확정일로부터1개월 이내 구청에 신고(1개월 이내 미신고시 과태료 부과)
-이혼판결 등본1부,확정증명원(송달증명원) 1부.
-이혼신고서(이혼신고서에 신고인 도장 또는 서명 날인) 1부.
-신고인 신분증."
번호 156,혼인신고 시 필요한 서류는 어떻게 되나요?,"*혼인신고서1부(대한민국법원 전자민원센터 홈페이지->양식모음에서 출력가능)
혼인신고서에 혼인당사자(남,여)도장 또는 서명 날인
혼인신고서에 증인2명의 인적사항(성명,주소,주민등록번호,도장 또는 서명):방문은 불필요.
*혼인당사자(남,여)신분증(한 분만 방문하더라도 두 분 신분증 지참)
혼인당사자가 접수 할 수 없을 때 대리 접수가능(제출인 신분증 함께 지참)"
번호 155,공공근로사업 기간과 임금은 어떻게 되나요?,"공공근로사업 기간과 임금 및 근로기준은 아래와 같습니다.
·사업기간 : 매년 2월 ~ 11월 (상,하반기 연2회 실시)
·임금 및 근로조건(최저시급 기준)
-만65세 미만 : 1일 5시간/ 주5일 근무, 일일임금31,000원/ 간식비 3,000원
-만65세 이상 : 1일 3시간/ 주5일 근무, 일일임금19,000원/ 간식비 3,000원
-주 유급휴일, 연차 유급휴가 부여
-4대 보험 의무 가입"
번호 154,세목별 과세증명서를 발급받고 싶습니다.,"세목별 과세증명서는 세목별로 과세 또는 납세사실에 대한 증명입니다.
○ 발급방법
1. 방문 : 가까운 구청(세무1과), 동주민센터
※ 구비서류
- 개인 : 본인인 경우 신분증
대리인인 경우 ①대리인 신분증 ②위임하는자(본인) 신분증 사본 ③위임장(별도의 양식없음)
- 법인 : 대표자인 경우 대표자 신분증, 사업자등록증 사본
법인 대리인인 경우 ①법인도장 날인 위임장(별도양식없음) ②대리인 신분증  ③사업자등록증 사본
2. 인터넷 : 민원24(www.minwon.go.kr) 홈페이지에서 신청
- 개인, 법인 모두 발급 가능
- 공인인증서 필수"
번호 153,주택가격 좀 알아보고 싶습니다,"주택가격은 단독, 다가구인 경우 개별주택가격으로 알아보시고, 다세대는 공동주택가격으로 알아보실 수 있습니다.
이 두가지 모두 인터넷 사이트 ""부동산공시가격알리미(www.realtyprice.kr)""라는 사이트에서 알아보실 수 있습니다."
번호 152,지방세환급금 신청하려는데 필요한 서류가 무엇인가요?,"1. 납세자 본인이 지방세환급금을 신청하는 경우 환급청구서, 납부영수증, 통장사본이 필요합니다.
2. 납세자가 지방세환급금을 양도하고자 하는 경우
○ 양도인이 개인인 경우 : 환급청구서, 양도신청서, 양도인과 양수인 신분증 사본, 양수인 통장사본, 납부영수증
○ 양도인이 법인인 경우 : 환급청구서, 양도신청서, 법인 인감증명서, 양수인 신분증 사본, 양수인 통장사본, 납부영수증이 필요합니다.
※ 환급청구서, 양도신청서 서식다운로드 경로
- 금천구청 홈페이지 → 종합민원 → 민원안내 → 민원사무편람(민원서식) → 제목 ""환급"" 검색  → 환급청구서, 양도신청서 다운로드"
번호 151,상속으로 부동산 취득시 취득세는 어떻게 신고하나요,"상속으로 부동산 취득시 피상속인의 사망일이 속하는 달의 말일부터 6월 이내에 취득신고를 하여야 하며
첨부서류는 사망자 기본증명서, 재산분할협의서, 사망자 가족관계증명서 등이 필요합니다.
더 궁금하신 사항이 있으시면 세무1과(2627-2346)로 연락주시면 성심껏 안내해 드리겠습니다."
번호 150,부동산을 사게 되면 어떻게 취득세 신고를 하여야 하나요,"취득세 신고는 잔금지급일로부터 60일 이내에 매매계약서와 부동산거래 신고필증을 가지고
우리구청 1층 민원실 취득세 신고 창구(16번 창구)를 방문하셔서 취득세를 신고하면 됩니다.
본인이 아닌 경우에는 취득세 신고서 양식에 있는 위임장을 작성하여 신고하면 됩니다."
번호 149,건폐율 기준에 부적합한 경우 재축 가능 여부,"질의 :수해로 전파된 기존건축물(약71㎡)을 재축하고자 하는 경우로서 건축법 제5조의2 같은법시행령 제6조의2 규정에 의하면 기존의 건축물이 법령의 제정？개정등으로 인하여 법？이영 또는 건축조례의 규정에 부적합하더라도 기존 건축물의 재축을 허용하고 있으나. 이 경우 건축법령이 아닌 도시계획법령에 의한 건폐율 기준에 부적합한 경우에도 재축이 가능한 것인지 여부?답변 :가. 건축법시행령 제6조의2 제2항제1호의 규정에 의한 “기존건축물의 재축”시에는 법？이영 또는 건축조례의 규정에 부적합하더라도 건축허가를 할 수 있도록 규정하고 있는바, 이는 건축조례에서 특례로 정할 수 있는 위임범위를 규정한 것이며,나. 또한 상기 규정은 기존건축물의 재축시에 건폐율에 위반된다 하더라도 재축이 가능하다는 규정이며, 건폐율의 근거법령은 건축법 제47조에서 이를 규정하고 있으니 참고하시기 바랍니다."
번호 148,피로티 구조의 주택 층수산정 기준,"질의 :지하 1층에는 근린생활시설을 지상1층은 전부를 피로티 구조로하여 주차장으로 하고 지상 2～5층은 다세대주택(다가구 2～4층)을 건축함에 있어 피로티부분이 주택의 층수에 포함되어야 하는 것인지 여부 ?답변 :건축법시행령 [별표1] 제1호다목 및 제2호의 규정에 의거 주택의 층수를 산정함에 있어서 1층 전부를 피로티구조로하여 주택의 주차장으로 사용하는 경우에는 동 피로티부분은 주택의 층수에 제외 되는 것이나, 주택을 근린생활시설등 타용도와 복합으로 건축하는 경우에는 1층 전부를 피로티 구조로하여 주차장으로 사용하는 경우라도 이는 주택의 층수산정에 포함되는 것입니다."
